Title,Link
İnformasiya Texnologiyaları Departamenti proqramçı (Senior/strong middle software developer) vəzifəsinə işə dəvət,https://ziraatbank.az/az/informasiya-texnologiyalari-departamenti-proqramci--senior-strong-middle-software-developer--v%C9%99zif%C9%99sin%C9%99-is%C9%99-d%C9%99v%C9%99t-
İnformasiya Texnologiyaları Departamenti Bank Sistemlərinin İdarə Edilməsi (Core Banking) sahəsi üzrə mütəxəssis/aparıcı mütəxəssis vəzifələrinə işə dəvət,https://ziraatbank.az/az/informasiya-texnologiyalari-departamenti-bank-sisteml%C9%99rinin-idar%C9%99-edilm%C9%99si--core-banking--sah%C9%99si-uzr%C9%99-mut%C9%99x%C9%99ssis-aparici-mut%C9%99x%C9%99ssis-v%C9%99zif%C9%99l%C9%99rin%C9%99-is%C9%99-d%C9%99v%C9%99t-
Marketinq və İctimai Əlaqələr Departamenti Məhsulların inkişafı və yaradılması üzrə aparıcı mütəxəssis/ baş mütəxəssis  vəzifələrinə işə dəvət,https://ziraatbank.az/az/marketinq-v%C9%99-ictimai-%C9%99laq%C9%99l%C9%99r-departamenti-m%C9%99hsullarin-inkisafi-v%C9%99-yaradilmasi-uzr%C9%99-aparici-mut%C9%99x%C9%99ssis--bas-mut%C9%99x%C9%99ssis--v%C9%99zif%C9%99l%C9%99rin%C9%99-is%C9%99-d%C9%99v%C9%99t-
İnformasiya Texnologiyaları departamenti İnternet Bankçılıq üzrə Biznes analitik vəzifəsinə işə dəvət,https://ziraatbank.az/az/informasiya-texnologiyalari-departamenti-internet-bankciliq-uzr%C9%99-biznes-analitik-v%C9%99zif%C9%99sin%C9%99-is%C9%99-d%C9%99v%C9%99t
İnformasiya Texnologiyaları departamenti “Baş PL/SQL Developer” vəzifəsinə işə dəvət,https://ziraatbank.az/az/informasiya-texnologiyalari-departamenti-“bas-pl-sql-developer”-v%C9%99zif%C9%99sin%C9%99-is%C9%99-d%C9%99v%C9%99t
Gəncə filialına Müştəri Xidmətləri mütəxəssisi vəzifəsinə işə dəvət,https://ziraatbank.az/az/g%C9%99nc%C9%99-filialina-must%C9%99ri-xidm%C9%99tl%C9%99ri-mut%C9%99x%C9%99ssisi-v%C9%99zif%C9%99sin%C9%99-is%C9%99-d%C9%99v%C9%99t-
Müştəri Xidmətləri Mütəxəssisi/Aparıcı Mütəxəssisi vəzifələrinə işə dəvət,https://ziraatbank.az/az/must%C9%99ri-xidm%C9%99tl%C9%99ri-mut%C9%99x%C9%99ssisi-aparici-mut%C9%99x%C9%99ssisi-v%C9%99zif%C9%99l%C9%99rin%C9%99-is%C9%99-d%C9%99v%C9%99t
